Title,Description,Keywords,Reward,WorkerId,expt,Input.trialtype,Input.shape,Input.trial1_type,Input.trial1_adj,Input.trial1_left,Input.trial1_right,Input.trial1_exemplar,Input.trial1_alienA,Input.trial1_alienB,Input.trial1_ref_adj,Input.trial1_ref,Input.trial1_correct,Answer.Allen_eyes,Answer.comments,Answer.difficulty_scale,Answer.explanation,Answer.story_character,Answer.trial1,Approve,Reject
"Very Short Children's Game (fun, 2 minutes, do once only!)","This is an activity for kids, and we're asking adults to help us complete the same survey as the kids do. - PLEASE ONLY DO ONE HIT OF THIS TYPE. IF YOU DO MULTIPLE HITS YOU WILL NOT BE PAID.","children, kids, game",$0.20 ,1a_01,Experiment 1a,trialtype1,shape1,FeatureSize,Size,feature,size,shape_small_broken,shape_small_whole,shape_big_broken,small,SMALL,right,3,,3,,Allen,right,,
"Very Short Children's Game (fun, 2 minutes, do once only!)","This is an activity for kids, and we're asking adults to help us complete the same survey as the kids do. - PLEASE ONLY DO ONE HIT OF THIS TYPE. IF YOU DO MULTIPLE HITS YOU WILL NOT BE PAID.","children, kids, game",$0.20 ,1a_02,Experiment 1a,trialtype2,shape1,FeatureSize,Size,size,feature,shape_small_broken,shape_big_broken,shape_small_whole,small,SMALL,left,3,,2,I have no clue.,Allen,left,,
"Very Short Children's Game (fun, 2 minutes, do once only!)","This is an activity for kids, and we're asking adults to help us complete the same survey as the kids do. - PLEASE ONLY DO ONE HIT OF THIS TYPE. IF YOU DO MULTIPLE HITS YOU WILL NOT BE PAID.","children, kids, game",$0.20 ,1a_03,Experiment 1a,trialtype4,shape1,FeatureSize,Feature,size,feature,shape_small_broken,shape_big_broken,shape_small_whole,broken,BROKEN,right,3,Thanks!,6,Our ability to process information,Allen,right,,
"Very Short Children's Game (fun, 2 minutes, do once only!)","This is an activity for kids, and we're asking adults to help us complete the same survey as the kids do. - PLEASE ONLY DO ONE HIT OF THIS TYPE. IF YOU DO MULTIPLE HITS YOU WILL NOT BE PAID.","children, kids, game",$0.20 ,1a_04,Experiment 1a,trialtype2,shape1,FeatureSize,Size,size,feature,shape_small_broken,shape_big_broken,shape_small_whole,small,SMALL,left,3,,4,To test visual cognition of children,Allen,left,,
"Very Short Children's Game (fun, 2 minutes, do once only!)","This is an activity for kids, and we're asking adults to help us complete the same survey as the kids do. - PLEASE ONLY DO ONE HIT OF THIS TYPE. IF YOU DO MULTIPLE HITS YOU WILL NOT BE PAID.","children, kids, game",$0.20 ,1a_05,Experiment 1a,trialtype3,shape1,FeatureSize,Feature,feature,size,shape_small_broken,shape_small_whole,shape_big_broken,broken,BROKEN,left,3,,7,recognizing that the glorp was broken,Allen,left,,
"Very Short Children's Game (fun, 2 minutes, do once only!)","This is an activity for kids, and we're asking adults to help us complete the same survey as the kids do. - PLEASE ONLY DO ONE HIT OF THIS TYPE. IF YOU DO MULTIPLE HITS YOU WILL NOT BE PAID.","children, kids, game",$0.20 ,1a_06,Experiment 1a,trialtype1,shape1,FeatureSize,Size,feature,size,shape_small_broken,shape_small_whole,shape_big_broken,small,SMALL,right,3,,3,size perception,Allen,right,,
"Very Short Children's Game (fun, 2 minutes, do once only!)","This is an activity for kids, and we're asking adults to help us complete the same survey as the kids do. - PLEASE ONLY DO ONE HIT OF THIS TYPE. IF YOU DO MULTIPLE HITS YOU WILL NOT BE PAID.","children, kids, game",$0.20 ,1a_07,Experiment 1a,trialtype3,shape1,FeatureSize,Feature,feature,size,shape_small_broken,shape_small_whole,shape_big_broken,broken,BROKEN,left,3,,3,i honestly have no idea!,Allen,left,,
"Very Short Children's Game (fun, 2 minutes, do once only!)","This is an activity for kids, and we're asking adults to help us complete the same survey as the kids do. - PLEASE ONLY DO ONE HIT OF THIS TYPE. IF YOU DO MULTIPLE HITS YOU WILL NOT BE PAID.","children, kids, game",$0.20 ,1a_08,Experiment 1a,trialtype2,shape1,FeatureSize,Size,size,feature,shape_small_broken,shape_big_broken,shape_small_whole,small,SMALL,left,3,,4,"if we think odd or imperfect things can be the norm.  or, to test on our reading comprehension skills",Allen,left,,
"Very Short Children's Game (fun, 2 minutes, do once only!)","This is an activity for kids, and we're asking adults to help us complete the same survey as the kids do. - PLEASE ONLY DO ONE HIT OF THIS TYPE. IF YOU DO MULTIPLE HITS YOU WILL NOT BE PAID.","children, kids, game",$0.20 ,1a_09,Experiment 1a,trialtype3,shape1,FeatureSize,Feature,feature,size,shape_small_broken,shape_small_whole,shape_big_broken,broken,BROKEN,left,3,,4,"Determine whether or not kids would be able to understand the story, maybe?",Allen,left,,
"Very Short Children's Game (fun, 2 minutes, do once only!)","This is an activity for kids, and we're asking adults to help us complete the same survey as the kids do. - PLEASE ONLY DO ONE HIT OF THIS TYPE. IF YOU DO MULTIPLE HITS YOU WILL NOT BE PAID.","children, kids, game",$0.20 ,1a_10,Experiment 1a,trialtype3,shape1,FeatureSize,Feature,feature,size,shape_small_broken,shape_small_whole,shape_big_broken,broken,BROKEN,left,3,,4,i dont know,Allen,left,,
"Very Short Children's Game (fun, 2 minutes, do once only!)","This is an activity for kids, and we're asking adults to help us complete the same survey as the kids do. - PLEASE ONLY DO ONE HIT OF THIS TYPE. IF YOU DO MULTIPLE HITS YOU WILL NOT BE PAID.","children, kids, game",$0.20 ,1a_11,Experiment 1a,trialtype1,shape1,FeatureSize,Size,feature,size,shape_small_broken,shape_small_whole,shape_big_broken,small,SMALL,right,3,,3,Does the perception of size or shape matter more to adults or children,Allen,right,,
"Very Short Children's Game (fun, 2 minutes, do once only!)","This is an activity for kids, and we're asking adults to help us complete the same survey as the kids do. - PLEASE ONLY DO ONE HIT OF THIS TYPE. IF YOU DO MULTIPLE HITS YOU WILL NOT BE PAID.","children, kids, game",$0.20 ,1a_12,Experiment 1a,trialtype2,shape1,FeatureSize,Size,size,feature,shape_small_broken,shape_big_broken,shape_small_whole,small,SMALL,left,3,,5,,Allen,left,,
"Very Short Children's Game (fun, 2 minutes, do once only!)","This is an activity for kids, and we're asking adults to help us complete the same survey as the kids do. - PLEASE ONLY DO ONE HIT OF THIS TYPE. IF YOU DO MULTIPLE HITS YOU WILL NOT BE PAID.","children, kids, game",$0.20 ,1a_13,Experiment 1a,trialtype3,shape1,FeatureSize,Feature,feature,size,shape_small_broken,shape_small_whole,shape_big_broken,broken,BROKEN,left,3,,6,Visual learning,Allen,left,,
"Very Short Children's Game (fun, 2 minutes, do once only!)","This is an activity for kids, and we're asking adults to help us complete the same survey as the kids do. - PLEASE ONLY DO ONE HIT OF THIS TYPE. IF YOU DO MULTIPLE HITS YOU WILL NOT BE PAID.","children, kids, game",$0.20 ,1a_14,Experiment 1a,trialtype2,shape1,FeatureSize,Size,size,feature,shape_small_broken,shape_big_broken,shape_small_whole,small,SMALL,left,3,The second sentence in the first panel makes no sense.,3,Ability to extrapolate,Allen,left,,
